,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
375.0,6.259043580353307e-05,3.74348427145452e-07,2.4296177345777914e-07,5.558639937339471e-07,2.3893498066874754e-07,2.494712774592653e-05,0.00010968353027490293,1.2613605981613837e-09,0.0,0.0,0.0,0.0
376.0,0.0013297592201357345,3.7096981232261304e-07,2.3830741696688664e-07,7.025768397688386e-07,2.682606339286118e-07,2.302796356683301e-05,8.679687188963399e-05,3.680187368120481e-09,0.0,0.0,0.0,0.0
377.0,0.014098231014994266,3.851388202798741e-07,2.6209712078850666e-07,8.548507971942198e-07,3.0217915074619046e-07,1.3577888605833793e-05,5.519263952956746e-05,1.7716837288991153e-09,0.0,0.0,0.0,0.0
378.0,0.06012515436662412,3.9544343846386465e-07,2.846498624930456e-07,8.176451456614918e-07,3.3869034328670074e-07,1.930043713417071e-05,0.00010177692007823811,6.177859048749054e-09,0.0,0.0,0.0,0.0
379.0,0.11883442446887399,3.2101599797591217e-07,2.090745407277384e-07,6.897123658129547e-07,2.870501481540687e-07,2.217966986208359e-05,0.00021898688534706121,1.2000481317018954e-08,0.0,0.0,0.0,0.0
380.0,0.15672615513807434,3.197321620313062e-07,1.891573913502719e-07,6.267637520248478e-07,2.226429234297799e-07,2.0482041920603922e-05,0.0002665869026804454,1.4608962266888405e-08,0.0,0.0,0.0,0.0
381.0,0.17132335208202606,3.3611928302008867e-07,2.046783803499079e-07,6.83349694502799e-07,2.5028524211940253e-07,1.8117715836246666e-05,0.00017112705472722886,7.221561709489057e-09,0.0,0.0,0.0,0.0
382.0,0.1777499846891476,3.3681408935047107e-07,2.0235718620521073e-07,7.530064665686532e-07,2.6441436671690405e-07,4.672939814244499e-06,6.599949153484928e-05,9.767924747157696e-10,0.0,0.0,0.0,0.0
383.0,0.18269103879348525,3.435657992089017e-07,2.0602207031047533e-07,6.820542330332152e-07,2.704357980092112e-07,8.348883739206042e-06,4.5396933840609526e-05,1.3437492416820418e-09,0.0,0.0,0.0,0.0
384.0,0.18681715914934133,3.6250762315422605e-07,2.2390240135951394e-07,6.223799190281645e-07,2.60379935514263e-07,1.575250883895106e-05,9.222381465710641e-05,4.933974084155193e-09,0.0,0.0,0.0,0.0
