,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
389.0,0.9651037308077305,1.7486426841216199e-06,9.776760518355847e-07,2.183610149099097e-06,1.1537468345157646e-06,0.15261498095337822,0.7697243140546726,2.186017051915271e-05,0.0,0.0,0.0,0.0
390.0,0.9946946328002911,1.845572861599098e-06,1.297390384459459e-06,2.2820216367117106e-06,1.2963034807432427e-06,0.4489521117568691,0.964829967889977,4.2741967577525984e-05,0.0,0.0,0.0,0.0
391.0,1.0337466888233044,1.8878654437500005e-06,1.0433431333614867e-06,2.884520192286037e-06,1.142030150844595e-06,0.8010233750824327,1.0283494047966781,2.8073938750949314e-05,0.0,0.0,0.0,0.0
392.0,1.0722146181344292,1.8436449783783808e-06,1.4511009554054073e-06,3.6366042968468516e-06,1.3807752977477495e-06,1.0251863173810825,1.0706439211653167,5.952780201679161e-05,0.0,0.0,0.0,0.0
393.0,1.1079235376213283,1.934935271114869e-06,1.0743084243243267e-06,4.33024854983109e-06,1.2766919856418947e-06,1.1158508676579415,1.1119896390827726,2.9022929580060372e-05,0.0,0.0,0.0,0.0
394.0,1.140929401449335,2.0993120000000033e-06,1.2213050666666685e-06,4.871329866666673e-06,1.4427280666666686e-06,1.164468903133335,1.1522283103333353,1.175272876540002e-05,0.0,0.0,0.0,0.0
395.0,1.181689526757516,2.1657429284909917e-06,1.1203209102139643e-06,5.040103095833335e-06,1.5907821931306313e-06,1.2073755340551806,1.1901350770755634,4.4511051882626065e-05,0.0,0.0,0.0,0.0
396.0,1.2191709961760124,2.153540976351349e-06,1.2858681114864852e-06,5.034924395270266e-06,1.560726057432431e-06,1.2492122492331068,1.2291847082297285,6.686764812769723e-05,0.0,0.0,0.0,0.0
397.0,1.2608815266302238,2.264923071621619e-06,1.3149269090090076e-06,4.9574212121621565e-06,1.5167224927927912e-06,1.2935551918909898,1.2717294347094579,6.485820117018235e-05,0.0,0.0,0.0,0.0
398.0,1.3081571910932963,2.465180654054052e-06,1.4130552378378367e-06,5.258470697297292e-06,1.5386951081081066e-06,1.3372731984054043,1.3136295080648637,6.239740163308102e-05,0.0,0.0,0.0,0.0
399.0,1.3570292558474946,2.2832216450450436e-06,1.2843520663513504e-06,5.540805789639637e-06,1.6596621180180168e-06,1.3802219431725218,1.3548400890941432,3.061938601352764e-05,0.0,0.0,0.0,0.0
400.0,1.3703747164380653,2.208625129129128e-06,1.4463901381381376e-06,5.475891073873872e-06,1.6210140792792784e-06,1.396520626898498,1.372114568181381,9.33037906363339e-06,0.0,0.0,0.0,0.0
401.0,1.389022882862075,2.386992596096095e-06,1.3985577525900894e-06,4.931944575825824e-06,1.794930651651651e-06,1.4060570943511161,1.3855034010650804,3.1312376864070815e-05,0.0,0.0,0.0,0.0
402.0,1.3944775203246513,2.43450951325075e-06,1.083516472066441e-06,4.240896040465464e-06,1.6454091264639634e-06,1.4115240007900143,1.398271913654016,5.9985865095757294e-05,0.0,0.0,0.0,0.0
403.0,1.402788367146878,2.6179274819444434e-06,1.6002592128472218e-06,4.67916856736111e-06,1.643181769791666e-06,1.4159295698520828,1.4102531923805552,3.9769140025131645e-05,0.0,0.0,0.0,0.0
404.0,1.4193737548077474,2.6979879964339328e-06,1.732493981944444e-06,5.527505194744743e-06,1.6860357483858855e-06,1.4243267265141513,1.421938664994519,7.06703516502276e-05,0.0,0.0,0.0,0.0
405.0,1.435455742035582,2.4908040617961705e-06,1.3508516021752999e-06,5.367419029654653e-06,1.683183067614489e-06,1.4369584145816532,1.433374887806794,6.636525730545455e-05,0.0,0.0,0.0,0.0
406.0,1.4525854812681802,2.4482331871246243e-06,1.666198764264264e-06,5.559269916666665e-06,1.6804743498498496e-06,1.4507963567747746,1.447272978677834,7.51134675933796e-05,0.0,0.0,0.0,0.0
407.0,1.4593312120023896,2.6968129684403155e-06,1.3865859690409157e-06,5.4321875912256e-06,1.6010655008445946e-06,1.4655394501147052,1.4586680120952982,3.952990312778259e-05,0.0,0.0,0.0,0.0
408.0,1.46638885913625,2.6686353749999994e-06,1.5820363124999998e-06,4.39948096875e-06,1.9830470625e-06,1.47772680234375,1.4676882510937501,7.778747730796876e-05,0.0,0.0,0.0,0.0
409.0,1.4569927425815181,2.594379538963964e-06,2.189449459009009e-06,4.575596520045045e-06,1.7684794009009008e-06,1.4813295350409907,1.469597538239865,8.273834140290438e-05,0.0,0.0,0.0,0.0
410.0,1.4476098388817522,2.597142781475225e-06,1.3833474998141892e-06,5.169755789301802e-06,1.662073866722973e-06,1.4850791335427929,1.471761056344313,8.609802179614231e-05,0.0,0.0,0.0,0.0
411.0,1.4422699961339627,2.5535244402027025e-06,1.4008266881756755e-06,6.0010774108108105e-06,1.8040873942567567e-06,1.4877114897655406,1.476029592797635,5.8155565956226824e-05,0.0,0.0,0.0,0.0
412.0,1.4449756214903922,2.6502159265765766e-06,1.4025051686317568e-06,6.3515136385135135e-06,1.8217272460585584e-06,1.4877410872258443,1.4794054660839526,1.671728176674867e-05,0.0,0.0,0.0,0.0
413.0,1.4456840289641888,2.668514065315315e-06,1.512582947072072e-06,6.3584632432432416e-06,2.135340698198198e-06,1.4859689773423421,1.4773623618581078,3.1615554543763504e-05,0.0,0.0,0.0,0.0
414.0,1.4359197264623274,2.640015146621621e-06,1.7022986868243239e-06,6.254653205405404e-06,2.0120721261824323e-06,1.4852708879749996,1.4730355761636822,6.127827996840917e-05,0.0,0.0,0.0,0.0
415.0,1.4030102994889067,2.6433717199324325e-06,1.5637495968468467e-06,6.307866127027026e-06,2.530386767117117e-06,1.4862172557434683,1.4732390040264638,3.9777453108714525e-05,0.0,0.0,0.0,0.0
416.0,1.350036401859352,2.630965783502252e-06,1.6432090685247745e-06,6.006990993862612e-06,2.767929170889639e-06,1.4904463429585582,1.4791857360319254,7.307177535997712e-05,0.0,0.0,0.0,0.0
417.0,1.1700085192237701,2.665310805405405e-06,1.6919230337837834e-06,6.167182704729728e-06,2.535679891216216e-06,1.4995579528905403,1.4858934582506753,3.34326028106402e-05,0.0,0.0,0.0,0.0
418.0,0.7644436865503995,2.667932280968468e-06,2.3697898595157646e-06,6.142166305743242e-06,2.2718044625563053e-06,1.507987745458896,1.4910718010751685,9.990181067203629e-06,0.0,0.0,0.0,0.0
419.0,0.3152774467280855,2.7805444286036026e-06,2.2612215531531522e-06,5.571040984234233e-06,2.0398942343468466e-06,1.5132194861449322,1.4961078173645266,2.857565931166246e-05,0.0,0.0,0.0,0.0
420.0,0.06525310198608006,2.835619175844594e-06,2.173178157601351e-06,4.765720490371621e-06,1.934723426013513e-06,1.5205068655930178,1.5039910443872744,7.760593789038337e-05,0.0,0.0,0.0,0.0
421.0,0.005317462490606113,2.832530442728442e-06,1.7871291629665376e-06,4.2483931400900895e-06,1.9270991440154435e-06,1.5288238442153794,1.5133178145882238,4.7518179378070226e-05,0.0,0.0,0.0,0.0
